Latitude,Longitude,Stop Name,Stop Status
40.689596,-73.9827,FULTON ST/BOND ST,at stop
40.702211,-73.992787,OLD FULTON ST/HICKS ST,at stop
40.679751,-73.937771,FULTON ST/ALBANY AV,at stop
40.680683,-73.953533,FULTON ST/BEDFORD AV,at stop
40.679754,-73.937829,FULTON ST/ALBANY AV,at stop
40.691614,-73.987741,FULTON ST/SMITH ST,at stop
40.70257,-73.992246,FRONT ST/YORK ST,at stop
40.691802,-73.988208,FULTON ST/SMITH ST,approaching
40.679257,-73.928724,FULTON ST/MALCOLM X BL,approaching
40.691023,-73.986262,FULTON ST/HOYT ST,approaching
40.69188,-73.988407,FULTON ST/SMITH ST,approaching
40.676751,-73.90089,EAST NEW YORK AV/ALABAMA AV,approaching
40.692607,-73.990805,CADMAN PLZ W/MONTAGUE ST,approaching
40.676982,-73.900953,EAST NEW YORK AV/ALABAMA AV,approaching
40.679845,-73.939533,FULTON ST/KINGSTON AV,approaching
40.680769,-73.953957,FULTON ST/FRANKLIN AV,< 1 stop away
40.680486,-73.951292,FULTON ST/BEDFORD AV,< 1 stop away
40.69612,-73.98926,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
